ABC_Publication,Edition,State,District,Year,Half,Language,Frequency,Avg Circulation,Gram State,Gram District
Aaj Samaj,New Delhi edition,HR,Jind,2013,H1,Hindi,Dailies,7628.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Jind,2013,H2,Hindi,Dailies,7782.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Jind,2014,H1,Hindi,Dailies,7724.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Jind,2014,H2,Hindi,Dailies,7756.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Jind,2015,H1,Hindi,Dailies,7536.0,HARYANA,JIND
Aaj Samaj,New Delhi edition,HR,Kaithal,2013,H1,Hindi,Dailies,10163.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Kaithal,2013,H2,Hindi,Dailies,10327.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Kaithal,2014,H1,Hindi,Dailies,10418.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Kaithal,2014,H2,Hindi,Dailies,10804.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Kaithal,2015,H1,Hindi,Dailies,11050.0,HARYANA,KAITHAL
Aaj Samaj,New Delhi edition,HR,Karnal,2013,H1,Hindi,Dailies,24894.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Karnal,2013,H2,Hindi,Dailies,24210.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Karnal,2014,H1,Hindi,Dailies,24575.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Karnal,2014,H2,Hindi,Dailies,24935.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Karnal,2015,H1,Hindi,Dailies,24475.0,HARYANA,KARNAL
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2013,H1,Hindi,Dailies,26914.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2013,H2,Hindi,Dailies,26947.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2014,H1,Hindi,Dailies,25552.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2014,H2,Hindi,Dailies,26036.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Kurukshetra,2015,H1,Hindi,Dailies,24895.0,HARYANA,KURUKSHETRA
Aaj Samaj,New Delhi edition,HR,Mahendragarh,2013,H1,Hindi,Dailies,10761.0,HARYANA,MAHENDRAGARH
Aaj Samaj,New Delhi edition,HR,Mahendragarh,2013,H2,Hindi,Dailies,10814.0,HARYANA,MAHENDRAGARH
Aaj Samaj,New Delhi edition,HR,Mahendragarh,2014,H1,Hindi,Dailies,10702.0,HARYANA,MAHENDRAGARH
Aaj Samaj,New Delhi edition,HR,Mahendragarh,2014,H2,Hindi,Dailies,10810.0,HARYANA,MAHENDRAGARH
Aaj Samaj,New Delhi edition,HR,Mahendragarh,2015,H1,Hindi,Dailies,10619.0,HARYANA,MAHENDRAGARH
Aaj Samaj,New Delhi edition,HR,Mewat,2013,H1,Hindi,Dailies,8736.0,HARYANA,MEWAT
Aaj Samaj,New Delhi edition,HR,Mewat,2013,H2,Hindi,Dailies,8844.0,HARYANA,MEWAT
Aaj Samaj,New Delhi edition,HR,Mewat,2014,H1,Hindi,Dailies,8787.0,HARYANA,MEWAT
Aaj Samaj,New Delhi edition,HR,Mewat,2014,H2,Hindi,Dailies,8900.0,HARYANA,MEWAT
Aaj Samaj,New Delhi edition,HR,Mewat,2015,H1,Hindi,Dailies,8830.0,HARYANA,MEWAT
Aaj Samaj,New Delhi edition,HR,Palwal,2013,H1,Hindi,Dailies,11580.0,HARYANA,PALWAL
Aaj Samaj,New Delhi edition,HR,Palwal,2013,H2,Hindi,Dailies,11653.0,HARYANA,PALWAL
Aaj Samaj,New Delhi edition,HR,Palwal,2014,H1,Hindi,Dailies,11577.0,HARYANA,PALWAL
Aaj Samaj,New Delhi edition,HR,Palwal,2014,H2,Hindi,Dailies,11667.0,HARYANA,PALWAL
Aaj Samaj,New Delhi edition,HR,Palwal,2015,H1,Hindi,Dailies,11506.0,HARYANA,PALWAL
Aaj Samaj,New Delhi edition,HR,Panchkula,2013,H1,Hindi,Dailies,40520.0,HARYANA,PANCHKULA
Aaj Samaj,New Delhi edition,HR,Panchkula,2013,H2,Hindi,Dailies,40547.0,HARYANA,PANCHKULA
Aaj Samaj,New Delhi edition,HR,Panchkula,2014,H1,Hindi,Dailies,40393.0,HARYANA,PANCHKULA
Aaj Samaj,New Delhi edition,HR,Panchkula,2014,H2,Hindi,Dailies,41340.0,HARYANA,PANCHKULA
Aaj Samaj,New Delhi edition,HR,Panchkula,2015,H1,Hindi,Dailies,40318.0,HARYANA,PANCHKULA
Aaj Samaj,New Delhi edition,HR,Panipat,2013,H1,Hindi,Dailies,18806.0,HARYANA,PANIPAT
Aaj Samaj,New Delhi edition,HR,Panipat,2013,H2,Hindi,Dailies,18375.0,HARYANA,PANIPAT
Aaj Samaj,New Delhi edition,HR,Panipat,2014,H1,Hindi,Dailies,19802.0,HARYANA,PANIPAT
Aaj Samaj,New Delhi edition,HR,Panipat,2014,H2,Hindi,Dailies,20427.0,HARYANA,PANIPAT
Aaj Samaj,New Delhi edition,HR,Panipat,2015,H1,Hindi,Dailies,20470.0,HARYANA,PANIPAT
Aaj Samaj,New Delhi edition,HR,Rewari,2013,H1,Hindi,Dailies,12069.0,HARYANA,REWARI
Aaj Samaj,New Delhi edition,HR,Rewari,2013,H2,Hindi,Dailies,12102.0,HARYANA,REWARI
Aaj Samaj,New Delhi edition,HR,Rewari,2014,H1,Hindi,Dailies,12026.0,HARYANA,REWARI
Aaj Samaj,New Delhi edition,HR,Rewari,2014,H2,Hindi,Dailies,12097.0,HARYANA,REWARI
Aaj Samaj,New Delhi edition,HR,Rewari,2015,H1,Hindi,Dailies,11964.0,HARYANA,REWARI
